"moth","wb","trial","lax_count","lba_count","lsa_count","ldvm_count","ldlm_count","rdlm_count","rdvm_count","rsa_count","rba_count","rax_count","lax1","lax2","lax3","lax4","lba1","lba2","lba3","lba4","lba5","lsa1","lsa2","lsa3","lsa4","ldvm1","ldvm2","ldvm3","ldvm4","ldlm1","ldlm2","rdlm1","rdlm2","rdvm1","rdvm2","rdvm3","rsa1","rsa2","rsa3","rsa4","rba1","rba2","rba3","rba4","rax1","rax2","rax3","rax4"
"2024_11_01",1061,"pre",1,0,1,1,1,1,1,1,1,0,0.2937062937062937,NA,NA,NA,NA,NA,NA,NA,NA,0.49184149184149184,NA,NA,NA,-0.2190904392764858,NA,NA,NA,0.4149184149184149,NA,0.3473193473193473,NA,-0.2587131782945738,NA,NA,0.7575757575757576,NA,NA,NA,-0.28668217054263573,NA,NA,NA,NA,NA,NA,NA
"2024_11_01",1062,"pre",1,0,1,2,1,1,1,1,0,1,0.5344036697247706,NA,NA,NA,NA,NA,NA,NA,NA,0.5229357798165137,NA,NA,NA,-0.2018423986387373,0.36009174311926606,NA,NA,0.43577981651376146,NA,0.3256880733944954,NA,-0.24771567105663211,NA,NA,0.713302752293578,NA,NA,NA,NA,NA,NA,NA,0.7339449541284404,NA,NA,NA
"2024_11_01",1063,"pre",1,0,1,2,1,1,1,1,2,1,0.26914660831509846,NA,NA,NA,NA,NA,NA,NA,NA,0.5317286652078774,NA,NA,NA,-0.17726152798365458,0.3544857768052516,NA,NA,0.43326039387308535,NA,0.3347921225382932,NA,-0.21446456472096465,NA,NA,0.7921225382932167,NA,NA,NA,-0.253856015383999,0.015317286652078774,NA,NA,0.01312910284463895,NA,NA,NA
"2024_11_01",1064,"pre",1,0,1,2,1,1,1,1,0,0,0.2610619469026549,NA,NA,NA,NA,NA,NA,NA,NA,0.5221238938053098,NA,NA,NA,-0.1836238835673676,0.3561946902654867,NA,NA,0.4314159292035398,NA,0.32964601769911506,NA,-0.2234459306060738,NA,NA,0.7721238938053098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2024_11_01",1065,"pre",1,2,2,2,1,1,1,1,0,0,0.2334096109839817,NA,NA,NA,-0.1304248999878773,0.40503432494279173,NA,NA,NA,0.5308924485125858,0.7940503432494279,NA,NA,-0.21051036489271432,0.3524027459954233,NA,NA,0.4302059496567506,NA,0.3112128146453089,NA,-0.2471208631349255,NA,NA,0.7734553775743707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2024_11_01",1066,"pre",1,0,1,2,1,1,1,1,0,0,0.25754060324825984,NA,NA,NA,NA,NA,NA,NA,NA,0.531322505800464,NA,NA,NA,-0.2041698449021103,0.35730858468677495,NA,NA,0.42923433874709976,NA,0.34106728538283065,NA,-0.24361174675819983,NA,NA,0.7795823665893271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2024_11_01",1067,"pre",1,1,1,1,1,1,1,1,0,0,0.27954545454545454,NA,NA,NA,-0.20682797480941334,NA,NA,NA,NA,0.5431818181818182,NA,NA,NA,-0.2022823050333823,NA,NA,NA,0.4318181818181818,NA,0.3431818181818182,NA,-0.23864766324163075,NA,NA,0.7204545454545455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2024_11_01",1068,"pre",1,0,1,2,2,1,1,1,0,0,0.27251732101616627,NA,NA,NA,NA,NA,NA,NA,NA,0.5173210161662818,NA,NA,NA,-0.21015395894428154,0.3625866050808314,NA,NA,-0.03695014662756596,0.43648960739030024,0.3094688221709007,NA,-0.24248533724340177,NA,NA,0.7505773672055427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2024_11_01",1069,"pre",1,2,1,1,1,1,1,1,0,0,0.5903614457831325,NA,NA,NA,-0.21925519630484988,0.3927710843373494,NA,NA,NA,0.5228915662650603,NA,NA,NA,-0.238530378397584,NA,NA,NA,0.41927710843373495,NA,0.3132530120481928,NA,-0.27708074258305204,NA,NA,0.7734939759036145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2024_11_01",1070,"pre",1,0,2,1,1,1,1,1,0,0,0.3773148148148148,NA,NA,NA,NA,NA,NA,NA,NA,0.5138888888888888,0.7754629629629629,NA,NA,-0.19214780600461898,NA,NA,NA,0.4305555555555556,NA,0.3194444444444444,NA,-0.2315033807284566,NA,NA,0.7731481481481481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
