moth,wb,trial,lax_count,lba_count,lsa_count,ldvm_count,ldlm_count,rdlm_count,rdvm_count,rsa_count,rba_count,rax_count,lax1,lba1,lsa1,ldvm1,ldlm1,rdlm1,rdvm1,rsa1,rba1,rax1
2024_11_01,1204,0,1,1,1,1,1,1,1,1,1,1,0.5788235294117647,-0.2447127207690587,0.4847058823529411,-0.2423597138385871,0.3905882352941176,0.3294117647058823,-0.2870668455175497,0.7294117647058823,-0.4117762128325508,0.6894117647058824
2024_11_01,1209,0,2,1,1,1,1,1,1,2,1,1,0.2663551401869158,0.3714953271028037,0.4789719626168224,-0.2523243347041973,0.3831775700934579,0.2967289719626168,-0.3060600726504617,-0.0724264294058344,-0.3083964090829079,0.6682242990654206
2024_11_01,1213,0,1,1,1,1,1,1,1,1,1,1,0.2876404494382023,-0.2089995361063862,0.4584269662921348,-0.2112468429462399,0.3820224719101123,0.298876404494382,-0.2674295139425802,0.748314606741573,-0.3236121849389207,0.7168539325842697
2024_11_01,1217,0,1,1,1,1,1,1,1,1,1,1,0.5525727069351231,0.4876957494407158,0.4675615212527964,-0.2013568129330253,0.4049217002237136,0.3176733780760626,-0.221492494226328,0.7762863534675615,-0.3579676674364896,0.6554809843400448
2024_11_01,1228,0,1,1,1,1,1,1,1,1,1,1,0.284037558685446,0.3967136150234742,0.4906103286384976,-0.241768524162416,0.4107981220657277,0.3474178403755869,-0.2699357308609498,0.7488262910798122,-0.3145338081336285,0.7488262910798122
2024_11_01,1902,1,2,1,1,2,1,1,1,1,1,1,0.1383495145631068,0.2961165048543689,0.2184466019417475,-0.3592794889602141,0.1990291262135922,0.174757281553398,-0.3350038478142538,0.7451456310679612,0.3519417475728155,0.3495145631067961
2024_11_01,1903,1,2,1,1,1,1,1,1,1,1,2,0.2279792746113989,0.2461139896373056,0.2849740932642487,0.2409326424870466,0.2694300518134715,0.2512953367875647,-0.3186008880860992,0.7979274611398963,0.38860103626943,0.38860103626943
2024_11_01,1904,1,3,1,1,1,1,1,1,1,1,2,0.2882882882882883,0.2927927927927928,0.3175675675675675,0.2815315315315315,0.3130630630630631,0.2927927927927928,-0.1779880072189555,0.8108108108108109,0.4189189189189189,0.4189189189189189
2024_11_01,1905,1,2,1,1,1,1,1,1,1,1,1,0.2517814726840855,0.2565320665083135,0.2921615201900237,0.2446555819477434,0.2707838479809976,0.2589073634204275,-0.2327505230348832,0.7790973871733967,0.3966745843230403,0.3966745843230403
2024_11_01,1907,1,3,1,1,1,1,1,1,1,1,1,0.2580645161290322,0.2649769585253456,0.2995391705069124,0.2488479262672811,0.2857142857142857,0.2811059907834101,-0.2327460966853134,0.7764976958525346,0.4377880184331797,0.4377880184331797
2024_11_01,1909,1,3,1,1,1,1,1,1,2,2,1,0.298876404494382,0.3078651685393258,0.3393258426966292,0.3101123595505618,0.3438202247191011,0.3235955056179775,-0.170831737161142,-0.0696813664736237,-0.4473094170403587,0.4696629213483146
2024_11_01,1910,1,2,1,1,1,1,1,1,1,1,1,0.423841059602649,0.2980132450331126,0.3267108167770419,0.2847682119205298,0.3156732891832229,0.2980132450331126,-0.1986833638568529,0.7814569536423841,0.4701986754966887,0.4724061810154525
2024_11_01,1911,1,3,1,1,1,1,1,1,1,1,2,0.234192037470726,0.2576112412177986,0.3489461358313817,0.2482435597189695,0.2786885245901639,0.2646370023419204,-0.255235089022302,0.7611241217798594,0.4262295081967213,0.4285714285714285
2024_11_01,1913,1,2,1,1,1,1,1,1,1,1,1,0.4425837320574162,0.3803827751196172,0.3038277511961722,0.2727272727272727,0.2990430622009569,0.2942583732057416,-0.2272806265495748,0.7966507177033493,0.4258373205741627,0.423444976076555
2024_11_01,1914,1,2,1,1,1,1,1,1,1,1,2,0.455188679245283,0.2783018867924528,0.294811320754717,0.2759433962264151,0.3042452830188679,0.285377358490566,-0.2240641711229946,0.8207547169811321,0.4528301886792453,0.455188679245283
2024_11_01,1915,1,2,1,1,1,1,1,1,1,1,1,0.2799097065462754,0.2799097065462754,0.2979683972911964,0.27313769751693,0.2979683972911964,0.2821670428893905,-0.1986656467788542,0.7855530474040632,0.435665914221219,0.435665914221219
2024_11_01,1916,1,2,1,1,1,1,1,1,1,1,2,0.2004830917874396,0.2439613526570048,0.2729468599033816,0.2367149758454106,0.2657004830917874,0.2632850241545894,-0.2656585710788979,0.7946859903381642,0.4106280193236715,0.4130434782608695
2024_11_01,1917,1,2,1,1,1,1,1,1,1,1,1,0.2291169451073985,0.2601431980906921,0.279236276849642,0.2505966587112171,0.2649164677804296,0.2601431980906921,-0.2315102369450195,0.7947494033412887,0.4200477326968974,0.8138424821002387
2024_11_01,1918,1,3,1,1,1,1,1,1,1,1,2,0.2105263157894736,0.2464114832535885,0.2679425837320574,0.2392344497607655,0.2655502392344497,0.2535885167464115,-0.2392330870751476,0.777511961722488,0.2488038277511961,0.2488038277511961
2024_11_01,1919,1,2,1,1,2,1,1,1,1,1,1,0.211031175059952,0.2613908872901678,0.2805755395683453,-0.2254183741214716,0.2757793764988009,0.2541966426858513,-0.2493990522195005,0.7865707434052758,0.4100719424460431,0.4100719424460431
2024_11_01,1920,1,2,1,1,1,1,1,1,1,1,2,0.2609699769053117,0.2632794457274827,0.2725173210161662,0.2586605080831409,0.279445727482679,0.2632794457274827,-0.2355866458906607,0.7990762124711316,0.3856812933025404,0.3856812933025404
2024_11_01,1922,1,2,1,1,1,1,1,1,1,1,1,0.2385542168674699,0.2481927710843373,0.253012048192771,0.2409638554216867,0.2506024096385542,0.253012048192771,-0.2578224922346061,0.7927710843373494,0.3662650602409638,0.3686746987951807
2024_11_01,1924,1,2,1,1,2,1,1,1,1,1,1,0.2360097323600973,0.2384428223844282,0.267639902676399,-0.2359908623643631,0.2652068126520681,0.2627737226277372,-0.2578869217589948,0.7858880778588808,0.3868613138686131,0.389294403892944
2024_11_01,1925,1,1,1,1,2,1,1,1,1,1,1,0.2784222737819025,0.3619489559164733,0.2668213457076566,-0.2088402270884022,0.2668213457076566,0.2784222737819025,-0.2274038028295936,0.7795823665893271,0.4013921113689095,0.4013921113689095
2024_11_01,1929,1,2,1,1,1,1,1,1,1,1,2,0.2674418604651162,0.2651162790697674,0.2767441860465116,0.2627906976744186,0.2767441860465116,0.2790697674418604,-0.2372157772621809,0.7930232558139535,0.3930232558139535,0.3930232558139535
2024_11_01,1932,1,2,1,1,1,1,1,1,1,1,2,0.3333333333333333,0.2708333333333333,0.2731481481481481,0.2731481481481481,0.2800925925925926,0.2916666666666667,-0.21531092293217,0.7893518518518519,0.3726851851851852,0.3726851851851852
2024_11_01,1933,1,3,1,1,1,1,1,1,1,1,2,0.2283653846153846,0.2475961538461538,0.2644230769230769,0.2524038461538461,0.2692307692307692,0.2692307692307692,-0.2499777955413446,0.7980769230769231,0.3509615384615384,0.3509615384615384
2024_11_01,1934,1,1,2,1,1,1,1,1,1,1,2,0.2304038004750593,-0.2565393729493255,0.2684085510688836,0.2565320665083135,0.2660332541567696,0.2802850356294536,-0.2304103627415238,0.7957244655581948,0.344418052256532,0.342042755344418
2024_11_01,1937,1,3,1,1,1,1,1,1,1,1,1,0.1888619854721549,-0.3244726646577701,0.2445520581113801,0.2324455205811138,0.2397094430992736,0.2493946731234866,-0.2494080929832114,0.8038740920096852,-0.4503874300473525,0.2300242130750605
2024_11_01,1946,1,2,1,1,1,1,1,1,1,1,1,0.4180929095354523,0.2689486552567237,0.2787286063569682,0.2567237163814181,0.293398533007335,0.2811735941320293,-0.2249442938873833,0.7946210268948656,0.4009779951100244,0.4009779951100244
2024_11_01,1947,1,3,1,2,2,1,1,1,1,1,2,0.2590799031476997,0.2784503631961259,0.297820823244552,-0.2082373646102784,0.3026634382566586,0.297820823244552,-0.2227655528389024,0.8062953995157385,0.4309927360774818,0.4334140435835351
2024_11_01,1952,1,2,1,1,1,1,1,1,1,1,1,0.344559585492228,0.2124352331606217,0.233160621761658,0.2176165803108808,0.2253886010362694,0.233160621761658,-0.2952903676040664,0.7875647668393783,0.3056994818652849,0.3031088082901554
2024_11_01,1959,1,3,1,2,1,1,1,1,1,1,1,0.2674698795180723,0.2795180722891566,0.3012048192771084,0.2626506024096385,0.3036144578313253,0.2819277108433735,-0.2168938656280428,0.7903614457831325,0.4216867469879518,0.4216867469879518
2024_11_01,1961,1,1,2,1,1,1,1,1,1,1,1,0.2738095238095238,-0.4952380952380953,0.2809523809523809,0.2642857142857143,0.2904761904761905,0.2833333333333333,-0.2476190476190475,0.7880952380952381,0.4285714285714285,0.4285714285714285
2024_11_01,1962,1,1,1,1,1,1,1,1,1,1,2,0.3357487922705314,0.2681159420289855,0.2801932367149758,0.2536231884057971,0.2753623188405797,0.2705314009661835,-0.2463683304647159,0.8043478260869565,0.3985507246376811,0.3985507246376811
2024_11_01,1964,1,3,1,1,1,1,1,1,1,1,1,0.2350119904076738,0.2446043165467626,0.2733812949640288,0.237410071942446,0.2805755395683453,0.2685851318944844,-0.2493906292317413,0.7985611510791367,0.4028776978417266,0.4028776978417266
2024_11_01,1967,1,3,1,1,2,1,1,1,1,1,1,0.2070588235294117,0.2235294117647059,0.2494117647058823,-0.2682308806107674,0.2564705882352941,0.24,-0.291759905225747,0.7505882352941177,0.3623529411764706,0.3623529411764706
2024_11_01,1970,1,2,2,1,1,1,1,1,1,1,1,0.2408759124087591,-0.3017777662094276,0.291970802919708,0.2554744525547445,0.2871046228710462,0.2798053527980535,-0.2628386996017595,0.8029197080291971,0.4063260340632603,0.4063260340632603
2024_11_01,1972,1,1,1,1,1,1,1,1,1,1,1,0.2111959287531806,0.2290076335877862,0.2697201017811705,0.2137404580152671,0.2519083969465648,0.2442748091603053,-0.279849399764236,0.7684478371501272,0.3486005089058524,0.3486005089058524
2024_11_01,1973,1,3,1,2,1,1,1,1,1,1,1,0.2175,0.2375,0.2675,0.23,0.26,0.2425,-0.2525112155996776,0.765,0.3725,0.3725
2024_11_01,1974,1,1,1,1,1,1,1,1,1,1,1,0.2160804020100502,0.2261306532663316,0.271356783919598,0.2211055276381909,0.2537688442211055,0.2412060301507537,-0.2638157894736841,0.7487437185929648,0.3969849246231156,0.3994974874371859
